Comment_ID,Post_ID,Comment_Text,Comment_Date,Comment
1671544218_0,1671544218,我打ba2無感,2022-12-20,I hit BA2 without feeling
1671544218_1,1671544218,注射地方痛幾天吧,2022-12-20,It hurts for a few days in injection
1671544218_2,1671544218,還打啊 我已經不打啦 JOJO,2022-12-20,"Still, I won't play it anymore Jojo"
1671544218_3,1671544218,沒感覺 就是稍微會痛而已,2022-12-20,It doesn't feel like it hurts a little bit
1671544218_4,1671544218,認真問現在大部分人打到第幾劑了,2022-12-20,Carefully ask most people nowadays the first dose
1671544218_5,1671544218,手酸痛而已 沒啥,2022-12-20,Hand is sore
1671544218_6,1671544218,不打mRNA,2022-12-20,Do not hit MRNA
1671544218_7,1671544218,除了手痛睡比較差外無感,2022-12-20,"Except for hands pain and sleeping, it is almost unsatisfactory"
1671544218_8,1671544218,不等高端次世代嗎？,2022-12-20,Is it not waiting for the second generation of high -end?
1671544218_9,1671544218,打三劑+確診，不會再打疫苗了,2022-12-20,"Taking three doses+confirmation, I won't get vaccine anymore"
1671544218_10,1671544218,我的台灣價值已死,2022-12-20,My Taiwan value is dead
1671544218_11,1671544218,次世代我ok 你先打,2022-12-20,I am ok in the next generation
1671544218_12,1671544218,高端是重組蛋白,2022-12-20,High -end is a recombinant protein
1671544218_13,1671544218,http://i.imgur.com/fosLIhp.jpg,2022-12-20,http://i.imgur.com/foslihp.jpg
1671544218_14,1671544218,打三劑 沒確診過 不會再去打了,2022-12-20,I will not be able to fight again if I have three doses.
1671544218_15,1671544218,AAB確診，不打了,2022-12-20,"AAB confirmed, I won't fight anymore"
1671544218_16,1671544218,想成為通報數據就去打嚕。出事時政府會證,2022-12-20,"If you want to be a notification data, you can get it. At the time of the accident, the government's certificate"
1671544218_17,1671544218,明你有病？與疫苗無關,2022-12-20,You know you are sick? It has nothing to do with vaccine
1671544218_18,1671544218,次世代打完隔天就通報的還不少。ba4/5只做,2022-12-20,There were a lot of notifications the next day after the next generation. BA4/5 Do it
1671544218_19,1671544218,動物實驗，很缺人體數據。,2022-12-20,Animal experiments are lacking human data.
1671544218_20,1671544218,感謝妳們的付出 我都不敢打XD,2022-12-20,"Thank you for your efforts, I dare not play XD"
1671544218_21,1671544218,我現在敢打的疫苗只有嬰兒的 其他你先打,2022-12-20,The only vaccine I dare to get now is the other baby’s other.
1671544218_22,1671544218,我前三劑沒事，第四劑BA 4/5 難過要死,2022-12-20,"My first three doses are okay, the fourth dose BA 4/5 is sad to die"
1671544218_23,1671544218,真的只有手痛,2022-12-20,Really only hand pain
1671544218_24,1671544218,真的無感，之前每次都搖滾區,2022-12-20,"There is really no sense, each time the rock area is every time"
1671544218_25,1671544218," AZx2+BNT, 第四劑莫，地燒半天+注射",2022-12-20," Azx2+bnt, the fourth dose Mo, the ground burned for half a day+injection"
1671544218_26,1671544218,部位痛1天,2022-12-20,Pain for 1 day
1671544218_27,1671544218,耙梳網路BA4/5是全劑量欸,2022-12-20,Rooky online BA4/5 is full doses 欸
1671544218_28,1671544218,BBB 沒確診過,2022-12-20,BBB has never been diagnosed
1671544218_29,1671544218,是想撈回本喔，狂打耶,2022-12-20,"I want to get back the book, fight mad"
1671544218_30,1671544218,當天沒感覺，第二天手痛+頭痛，第三天,2022-12-20,"I didn't feel it on the same day, hand pain+headache the next day, on the third day"
1671544218_31,1671544218,手酸兩天,2022-12-20,Soreness for two days
1671544218_32,1671544218,又接到刷疫苗文的任務了嗎?,2022-12-20,Have you received the task of brushing the vaccine again?
1671544218_33,1671544218,打針的部位會酸而已,2022-12-20,The part of the injection will be sour
1671544218_34,1671544218,減輕，第四天就好了,2022-12-20,"Reduce, just day the fourth day"
1671544218_35,1671544218,沒發燒,2022-12-20,No fever
1671544218_36,1671544218,我3劑莫+確診+次世代莫 都無感,2022-12-20,I do n’t have 3 doses+confirmation+the next generation without feeling
1671544218_37,1671544218,會燒,2022-12-20,Burning
1671544218_38,1671544218,莫德納同az會燒四肢無力,2022-12-20,Modner and AZ will burn their limbs and weak
1671544218_39,1671544218,打完隔天不舒服，再隔一天就恢復正常,2022-12-20,"It's not comfortable the next day, and it will return to normal every day"
1671544218_40,1671544218,無感,2022-12-20,Indifferent
1671544218_41,1671544218,隔壁習包子放推+過年在即,2022-12-20,The next door Xi Zi Put of Put of Put of Put+New Year's Delivery
1671544218_42,1671544218,小感冒康復時程vs疫苗副作用,2022-12-20,Little Cold Rehabilitation Times vs vaccine side effects
1671544218_43,1671544218,各位自行斟酌,2022-12-20,Everyone considers themselves
