id,Country ,Date,Brand,Total_increase
2998,Taiwan,2021-03-22,ALL,1578
2997,Taiwan,2021-03-23,Oxford/AstraZeneca,1638
2996,Taiwan,2021-03-23,ALL,1638
2995,Taiwan,2021-03-24,Oxford/AstraZeneca,1951
2994,Taiwan,2021-03-24,ALL,1951
2993,Taiwan,2021-04-02,Oxford/AstraZeneca,606
2992,Taiwan,2021-04-02,ALL,606
2991,Taiwan,2021-04-03,Oxford/AstraZeneca,0
2990,Taiwan,2021-04-03,ALL,0
2989,Taiwan,2021-04-04,Oxford/AstraZeneca,167
2988,Taiwan,2021-04-04,ALL,167
2987,Taiwan,2021-04-05,Oxford/AstraZeneca,167
2986,Taiwan,2021-04-05,ALL,167
2985,Taiwan,2021-04-07,Oxford/AstraZeneca,1395
2984,Taiwan,2021-04-07,ALL,1395
2983,Taiwan,2021-04-14,Oxford/AstraZeneca,1542
2982,Taiwan,2021-04-14,ALL,1542
2981,Taiwan,2021-04-15,Oxford/AstraZeneca,1542
2980,Taiwan,2021-04-15,ALL,1542
2979,Taiwan,2021-04-16,Oxford/AstraZeneca,2234
2978,Taiwan,2021-04-16,ALL,2234
2977,Taiwan,2021-04-25,Oxford/AstraZeneca,136
2976,Taiwan,2021-04-25,ALL,136
2975,Taiwan,2021-04-28,Oxford/AstraZeneca,2607
2974,Taiwan,2021-04-28,ALL,2607
2973,Taiwan,2021-04-29,Oxford/AstraZeneca,3224
2972,Taiwan,2021-04-29,ALL,3224
2971,Taiwan,2021-04-30,Oxford/AstraZeneca,3690
2970,Taiwan,2021-04-30,ALL,3690
2969,Taiwan,2021-05-02,Oxford/AstraZeneca,287
2968,Taiwan,2021-05-02,ALL,287
2967,Taiwan,2021-05-03,Oxford/AstraZeneca,4166
2966,Taiwan,2021-05-03,ALL,4166
2965,Taiwan,2021-05-04,Oxford/AstraZeneca,5315
2964,Taiwan,2021-05-04,ALL,5315
2963,Taiwan,2021-05-05,Oxford/AstraZeneca,5927
2962,Taiwan,2021-05-05,ALL,5927
2961,Taiwan,2021-05-06,Oxford/AstraZeneca,6461
2960,Taiwan,2021-05-06,ALL,6461
2959,Taiwan,2021-05-07,Oxford/AstraZeneca,98652
2958,Taiwan,2021-05-07,ALL,98652
2957,Taiwan,2021-05-09,Oxford/AstraZeneca,1047
2956,Taiwan,2021-05-09,ALL,1047
2955,Taiwan,2021-05-10,Oxford/AstraZeneca,9043
2954,Taiwan,2021-05-10,ALL,9043
2953,Taiwan,2021-05-11,Oxford/AstraZeneca,11018
2952,Taiwan,2021-05-11,ALL,11018
2951,Taiwan,2021-05-12,Oxford/AstraZeneca,16180
2950,Taiwan,2021-05-12,ALL,16180
2949,Taiwan,2021-05-13,Oxford/AstraZeneca,21394
2948,Taiwan,2021-05-13,ALL,21394
2947,Taiwan,2021-05-14,Oxford/AstraZeneca,32351
2946,Taiwan,2021-05-14,ALL,32351
2945,Taiwan,2021-05-16,Oxford/AstraZeneca,27485
2944,Taiwan,2021-05-16,ALL,27485
2943,Taiwan,2021-05-17,Oxford/AstraZeneca,222995
2942,Taiwan,2021-05-17,ALL,222995
2941,Taiwan,2021-05-19,Oxford/AstraZeneca,217132
2940,Taiwan,2021-05-19,ALL,217132
